titratable_acidity,fat_milk_over_100mg_,pH_sour_milk_initial,streptococcus_strain_,lactobacillus_strain_,minimum_milk_proteins,ideal_temperature_c,quality_product
0.979,1.7089,4.473,4.529,4.701,2.661,40.488,Low fat yogurt
1.051,2.387,4.515,4.86,5.361,2.508,40.075,Low fat yogurt
0.972,1.0236,4.405,4.663,5.797,2.659,41.624,Non fat yogurt
1.078,2.502,4.559,5.124,5.055,2.665,41.862,Low fat yogurt
1.069,3.3455,4.518,4.036,4.746,2.522,41.846,Regular yogurt
1.16,1.6472,4.474,4.481,4.569,2.67,40.873,Low fat yogurt
1.039,1.0427,4.567,5.669,5.387,2.687,41.5,Non fat yogurt
1.153,3.3144,4.51,5.46,4.741,2.616,40.586,Regular yogurt
1.13,1.2737,4.568,5.343,5.757,2.62,40.633,Low fat yogurt
1.0,2.6372,4.559,4.579,4.194,2.561,40.815,Low fat yogurt
1.177,3.3173,4.593,4.267,4.439,2.61,40.452,Regular yogurt
1.041,2.8125,4.487,5.398,5.707,2.612,40.713,Low fat yogurt
1.071,2.6029,4.482,5.662,4.863,2.44,40.423,Low fat yogurt
0.973,1.524,4.517,4.792,5.554,2.68,41.518,Low fat yogurt
1.046,1.0764,4.454,5.552,5.101,2.644,40.995,Non fat yogurt
0.97,3.807,4.523,4.299,4.594,2.67,41.828,Regular yogurt
1.026,2.2143,4.472,4.293,5.902,2.612,41.806,Low fat yogurt
1.029,3.6882,4.509,5.51,5.654,2.605,40.114,Regular yogurt
0.964,3.3783,4.551,5.317,5.861,2.493,40.43,Regular yogurt
0.962,2.405,4.563,5.637,5.035,2.662,40.134,Low fat yogurt
1.081,2.6847,4.516,5.267,5.914,2.601,40.936,Low fat yogurt
1.115,3.7651,4.44,4.473,4.257,2.544,40.244,Regular yogurt
0.957,1.6942,4.571,4.27,5.979,2.662,40.971,Low fat yogurt
0.989,2.9829,4.523,4.84,5.462,2.648,41.788,Low fat yogurt
0.963,2.3918,4.591,4.062,4.428,2.526,40.965,Low fat yogurt
1.044,2.8825,4.442,4.705,4.461,2.567,40.113,Low fat yogurt
1.04,3.4522,4.538,5.053,5.483,2.461,40.939,Regular yogurt
1.023,3.6002,4.538,5.943,4.551,2.685,40.647,Regular yogurt
0.954,1.9038,4.539,4.363,4.92,2.599,40.929,Low fat yogurt
1.14,3.3718,4.479,5.59,4.643,2.439,41.998,Regular yogurt
1.096,3.6587,4.572,4.319,5.57,2.407,41.691,Regular yogurt
1.157,1.1487,4.46,5.149,4.149,2.69,41.57,Low fat yogurt
1.111,1.2356,4.58,4.139,5.777,2.537,40.656,Low fat yogurt
1.018,1.0022,4.5,5.63,4.374,2.521,40.184,Non fat yogurt
1.171,1.6793,4.42,4.28,5.737,2.553,41.069,Low fat yogurt
1.163,3.3133,4.508,4.749,5.053,2.625,40.196,Regular yogurt
1.189,3.2397,4.406,4.192,5.188,2.698,41.527,Low fat yogurt
1.139,2.7395,4.514,4.449,5.12,2.494,41.364,Low fat yogurt
1.078,1.3286,4.419,4.405,4.112,2.553,41.574,Low fat yogurt
1.176,2.1834,4.472,4.746,5.685,2.578,40.167,Low fat yogurt
0.97,2.2074,4.532,4.699,4.599,2.478,40.601,Low fat yogurt
0.987,2.9561,4.52,4.645,4.934,2.445,41.824,Low fat yogurt
1.065,1.1291,4.554,4.565,5.641,2.637,41.299,Low fat yogurt
1.001,2.8071,4.484,4.18,5.548,2.545,41.026,Low fat yogurt
1.021,3.6448,4.574,4.957,4.984,2.478,40.455,Regular yogurt
0.988,2.3628,4.472,5.625,5.377,2.45,40.6,Low fat yogurt
1.071,1.2637,4.454,5.833,4.167,2.599,41.382,Low fat yogurt
1.115,1.9937,4.442,5.567,4.999,2.656,40.692,Low fat yogurt
0.986,3.3344,4.442,5.9,4.613,2.422,41.488,Regular yogurt
1.086,3.2926,4.46,4.591,5.017,2.441,41.008,Regular yogurt
1.008,1.9821,4.549,5.131,5.505,2.637,40.247,Low fat yogurt
1.12,3.227,4.489,4.45,5.752,2.55,40.952,Low fat yogurt
0.981,2.6395,4.594,4.606,4.732,2.607,40.53,Low fat yogurt
0.978,1.2585,4.556,4.182,4.217,2.551,40.87,Low fat yogurt
1.001,3.7061,4.507,5.783,5.883,2.59,41.18,Regular yogurt
0.989,1.3224,4.419,5.229,5.214,2.689,41.566,Low fat yogurt
0.963,1.6403,4.551,5.76,5.673,2.504,40.068,Low fat yogurt
1.087,2.0286,4.582,4.651,5.892,2.413,40.427,Low fat yogurt
1.005,1.0174,4.486,4.084,5.635,2.409,41.355,Non fat yogurt
1.055,2.8225,4.516,5.284,5.499,2.416,41.694,Low fat yogurt
1.165,1.6067,4.568,4.796,4.645,2.696,41.428,Low fat yogurt
1.096,1.0577,4.561,5.855,4.732,2.429,40.793,Non fat yogurt
0.967,3.65,4.431,4.722,4.46,2.54,41.759,Regular yogurt
0.971,1.0209,4.551,5.152,5.496,2.562,40.412,Non fat yogurt
1.057,1.1603,4.482,5.273,4.807,2.424,40.395,Low fat yogurt
1.05,2.0267,4.474,5.22,5.273,2.58,40.961,Low fat yogurt
1.121,2.6351,4.506,4.904,4.186,2.652,40.384,Low fat yogurt
0.993,3.3116,4.422,4.903,5.591,2.408,40.285,Regular yogurt
1.145,2.8676,4.487,5.766,4.23,2.594,41.791,Low fat yogurt
1.153,1.7243,4.521,4.347,5.384,2.559,40.271,Low fat yogurt
1.059,1.8961,4.426,4.8,4.393,2.523,41.731,Low fat yogurt
1.061,2.0282,4.453,5.852,5.264,2.635,41.908,Low fat yogurt
0.969,2.2992,4.43,4.873,4.97,2.577,40.11,Low fat yogurt
1.115,3.2346,4.504,4.244,4.695,2.415,40.568,Low fat yogurt
1.149,2.0314,4.558,5.672,4.222,2.676,40.004,Low fat yogurt
1.019,2.6702,4.407,5.956,4.787,2.502,40.69,Low fat yogurt
1.164,3.8444,4.45,4.775,5.599,2.46,40.131,Regular yogurt
1.14,1.1036,4.548,5.506,4.516,2.621,40.214,Low fat yogurt
1.093,3.3552,4.421,4.386,5.685,2.609,41.884,Regular yogurt
1.003,2.6043,4.403,4.92,5.507,2.445,41.091,Low fat yogurt
1.081,1.4713,4.48,4.691,5.157,2.638,41.513,Low fat yogurt
1.157,3.6146,4.418,4.885,4.898,2.679,41.589,Regular yogurt
1.135,3.6195,4.518,4.298,4.781,2.575,41.789,Regular yogurt
1.091,3.0657,4.598,4.777,5.981,2.584,41.847,Low fat yogurt
1.052,1.1806,4.477,4.278,4.944,2.689,41.845,Low fat yogurt
1.105,2.3682,4.566,4.11,5.275,2.43,40.606,Low fat yogurt
0.98,1.1843,4.588,4.77,4.992,2.436,41.94,Low fat yogurt
1.001,2.7376,4.591,5.115,4.143,2.533,40.163,Low fat yogurt
1.012,1.8761,4.407,4.132,4.632,2.521,40.617,Low fat yogurt
1.006,2.5288,4.482,4.656,4.445,2.528,40.155,Low fat yogurt
0.982,2.804,4.414,5.365,5.257,2.57,41.67,Low fat yogurt
1.151,3.4407,4.494,4.49,4.648,2.496,41.509,Regular yogurt
1.179,1.9103,4.568,4.379,4.991,2.407,40.207,Low fat yogurt
1.122,1.1942,4.533,4.679,5.598,2.617,40.775,Low fat yogurt
1.043,3.8752,4.483,5.502,5.038,2.454,40.567,Regular yogurt
1.016,3.223,4.433,4.158,5.559,2.679,41.911,Low fat yogurt
0.994,3.8561,4.597,5.51,5.56,2.615,40.278,Regular yogurt
1.07,1.1971,4.41,4.071,5.937,2.696,40.287,Low fat yogurt
1.038,2.1521,4.428,4.782,5.581,2.592,40.736,Low fat yogurt
1.051,3.6645,4.432,5.361,4.318,2.439,40.463,Regular yogurt
1.025,3.2245,4.581,5.703,4.975,2.699,40.259,Low fat yogurt
0.979,2.9467,4.515,4.559,4.148,2.594,41.481,Low fat yogurt
1.092,3.7666,4.458,4.175,4.973,2.595,41.356,Regular yogurt
1.008,2.918,4.545,5.011,4.097,2.422,40.054,Low fat yogurt
1.014,2.0058,4.586,4.881,4.998,2.538,40.664,Low fat yogurt
1.116,2.2978,4.516,5.491,5.543,2.617,41.372,Low fat yogurt
1.109,3.8008,4.403,4.023,5.664,2.545,41.317,Regular yogurt
0.992,2.0812,4.463,4.751,4.384,2.408,40.985,Low fat yogurt
1.189,1.8963,4.573,5.083,4.677,2.528,40.295,Low fat yogurt
1.124,1.8468,4.482,4.526,4.803,2.66,40.522,Low fat yogurt
1.042,1.1677,4.561,4.827,4.749,2.539,41.624,Low fat yogurt
1.063,2.9317,4.402,5.298,5.04,2.65,41.865,Low fat yogurt
1.188,3.4492,4.497,4.754,5.153,2.698,40.262,Regular yogurt
1.048,2.1614,4.513,4.414,4.255,2.471,41.239,Low fat yogurt
1.034,2.3493,4.504,5.791,5.34,2.587,40.114,Low fat yogurt
0.996,2.7751,4.587,5.443,4.469,2.554,41.843,Low fat yogurt
1.065,3.51,4.525,5.795,4.036,2.407,41.161,Regular yogurt
0.983,3.9178,4.491,5.286,5.623,2.509,41.832,Regular yogurt
1.043,3.0339,4.423,5.296,5.823,2.597,40.207,Low fat yogurt
1.006,2.5664,4.589,5.764,5.815,2.412,40.938,Low fat yogurt
0.979,2.2249,4.488,5.191,4.579,2.409,41.327,Low fat yogurt
1.101,2.5119,4.583,5.336,4.351,2.449,40.881,Low fat yogurt
1.057,1.7986,4.44,4.071,4.795,2.593,41.635,Low fat yogurt
1.158,1.5095,4.524,4.538,4.198,2.417,41.069,Low fat yogurt
1.132,2.4953,4.461,5.911,4.112,2.484,40.113,Low fat yogurt
1.025,3.1956,4.56,5.63,4.332,2.514,41.48,Low fat yogurt
1.059,3.5226,4.486,4.833,4.882,2.542,41.705,Regular yogurt
1.092,3.6064,4.448,5.935,5.132,2.515,41.605,Regular yogurt
1.069,2.2847,4.445,5.148,5.048,2.651,40.235,Low fat yogurt
1.033,2.1205,4.491,5.58,4.378,2.524,40.726,Low fat yogurt
1.074,2.1407,4.529,5.403,4.467,2.496,40.484,Low fat yogurt
0.989,2.7224,4.435,4.615,5.479,2.556,41.484,Low fat yogurt
0.985,2.4476,4.565,5.191,5.139,2.617,40.899,Low fat yogurt
1.066,3.2198,4.555,4.88,4.46,2.416,40.099,Low fat yogurt
1.035,3.0819,4.442,4.009,4.57,2.411,40.336,Low fat yogurt
1.114,1.641,4.432,5.529,5.917,2.458,41.089,Low fat yogurt
1.026,1.3546,4.414,4.624,4.427,2.636,40.031,Low fat yogurt
1.057,3.0151,4.456,5.293,4.618,2.506,41.377,Low fat yogurt
0.985,2.7235,4.578,5.495,4.034,2.418,41.656,Low fat yogurt
1.041,2.0166,4.416,5.854,5.54,2.575,40.099,Low fat yogurt
1.113,3.5831,4.467,5.929,5.167,2.508,41.462,Regular yogurt
0.989,2.3077,4.408,4.147,5.408,2.618,41.611,Low fat yogurt
1.085,3.3034,4.553,5.884,5.989,2.62,41.923,Regular yogurt
1.185,3.1041,4.441,5.217,5.897,2.406,40.221,Low fat yogurt
0.982,3.689,4.436,4.133,4.477,2.519,41.682,Regular yogurt
0.95,3.0559,4.558,5.788,5.031,2.556,41.661,Low fat yogurt
1.031,2.4949,4.441,5.345,4.36,2.601,40.37,Low fat yogurt
1.114,3.0643,4.599,5.779,5.714,2.449,41.375,Low fat yogurt
1.047,3.2026,4.441,5.27,5.985,2.562,41.298,Low fat yogurt
1.088,1.3071,4.455,5.073,4.856,2.492,40.337,Low fat yogurt
1.101,1.447,4.539,5.925,4.806,2.474,41.264,Low fat yogurt
1.055,1.7725,4.481,5.13,4.513,2.449,40.974,Low fat yogurt
1.151,1.2398,4.482,4.779,5.167,2.518,41.312,Low fat yogurt
1.163,2.5988,4.423,4.526,5.704,2.621,40.492,Low fat yogurt
1.152,1.9339,4.403,4.62,4.637,2.424,41.3,Low fat yogurt
1.035,3.1986,4.417,5.292,5.687,2.56,40.071,Low fat yogurt
1.049,1.7471,4.445,5.012,5.032,2.587,41.086,Low fat yogurt
0.956,1.3984,4.567,5.935,4.853,2.565,41.463,Low fat yogurt
1.009,3.6357,4.422,4.213,5.254,2.462,41.29,Regular yogurt
1.086,3.8251,4.489,5.808,4.261,2.476,41.502,Regular yogurt
1.023,2.542,4.511,5.511,4.265,2.438,40.994,Low fat yogurt
1.011,2.5236,4.482,4.601,4.744,2.612,41.754,Low fat yogurt
0.98,2.3761,4.439,5.936,4.556,2.412,41.647,Low fat yogurt
1.137,1.4506,4.444,5.392,5.22,2.532,40.407,Low fat yogurt
1.185,2.4182,4.447,4.415,5.672,2.411,41.376,Low fat yogurt
1.072,2.0177,4.444,5.685,5.309,2.693,41.87,Low fat yogurt
1.139,2.718,4.455,4.68,4.578,2.528,41.714,Low fat yogurt
1.029,1.8037,4.439,4.23,4.898,2.647,40.582,Low fat yogurt
1.123,2.2147,4.511,4.687,5.829,2.588,40.089,Low fat yogurt
1.014,2.0695,4.577,5.218,4.126,2.525,41.8,Low fat yogurt
1.045,2.8557,4.553,4.495,4.432,2.546,40.916,Low fat yogurt
1.074,1.2367,4.558,5.368,4.147,2.484,41.435,Low fat yogurt
0.968,1.9505,4.479,4.419,4.832,2.666,40.619,Low fat yogurt
1.077,1.5611,4.495,5.9,5.885,2.645,40.915,Low fat yogurt
0.96,2.0574,4.461,5.78,4.323,2.499,41.015,Low fat yogurt
1.087,2.7255,4.424,5.4,4.84,2.655,41.557,Low fat yogurt
1.115,1.1354,4.59,5.418,4.249,2.625,40.54,Low fat yogurt
1.154,3.2417,4.466,5.418,5.665,2.601,40.192,Low fat yogurt
1.01,1.8413,4.402,5.424,4.716,2.626,41.264,Low fat yogurt
1.163,1.6056,4.42,4.586,4.908,2.65,40.133,Low fat yogurt
1.032,1.7025,4.59,5.191,4.257,2.594,41.13,Low fat yogurt
1.039,3.6155,4.591,4.124,4.026,2.545,40.975,Regular yogurt
1.054,2.795,4.552,5.051,5.188,2.486,41.69,Low fat yogurt
1.113,3.1508,4.546,4.874,5.645,2.575,40.435,Low fat yogurt
1.026,2.2613,4.465,5.441,5.876,2.522,40.228,Low fat yogurt
0.976,1.3052,4.592,4.833,5.652,2.542,40.799,Low fat yogurt
1.023,1.5938,4.496,4.584,4.987,2.505,41.652,Low fat yogurt
0.951,2.8177,4.558,4.515,5.202,2.689,40.949,Low fat yogurt
1.023,1.741,4.5,4.977,5.186,2.586,41.396,Low fat yogurt
0.995,2.9487,4.492,5.584,5.948,2.675,40.625,Low fat yogurt
1.161,1.3717,4.526,4.003,5.71,2.648,41.161,Low fat yogurt
1.073,1.5527,4.415,4.759,4.385,2.583,40.221,Low fat yogurt
1.046,2.2893,4.54,5.977,4.974,2.667,41.194,Low fat yogurt
1.127,1.056,4.562,4.601,5.803,2.663,41.344,Non fat yogurt
0.978,2.4755,4.596,5.647,4.058,2.544,41.144,Low fat yogurt
1.041,3.8189,4.589,4.094,4.149,2.578,41.093,Regular yogurt
1.156,3.0558,4.495,5.993,5.304,2.605,41.254,Low fat yogurt
1.045,2.5557,4.523,4.837,5.283,2.423,40.638,Low fat yogurt
0.991,1.9365,4.417,4.753,5.979,2.533,41.647,Low fat yogurt
1.167,2.2475,4.407,5.868,5.253,2.541,40.981,Low fat yogurt
1.022,1.9592,4.588,5.464,5.001,2.505,40.412,Low fat yogurt
0.987,3.4787,4.47,5.136,5.641,2.578,41.8,Regular yogurt
0.969,3.4908,4.537,5.478,5.896,2.513,41.803,Regular yogurt
1.185,1.7695,4.513,4.021,4.161,2.518,41.758,Low fat yogurt
0.95,1.5236,4.513,4.634,4.699,2.467,41.042,Low fat yogurt
1.002,3.7279,4.544,5.647,5.831,2.407,40.721,Regular yogurt
1.014,2.0456,4.452,4.638,4.127,2.646,41.415,Low fat yogurt
1.061,1.0744,4.503,4.339,5.818,2.463,41.627,Non fat yogurt
1.07,1.6086,4.513,4.094,4.997,2.625,41.062,Low fat yogurt
1.052,3.9439,4.492,4.931,5.25,2.624,40.41,Regular yogurt
1.176,1.6405,4.567,4.327,4.051,2.687,41.926,Low fat yogurt
1.094,2.2415,4.481,4.674,5.319,2.666,41.95,Low fat yogurt
1.153,1.8893,4.422,4.953,5.191,2.449,41.176,Low fat yogurt
0.972,2.5313,4.448,5.246,4.296,2.597,40.435,Low fat yogurt
1.162,3.1998,4.494,4.405,4.747,2.621,41.233,Low fat yogurt
1.009,2.766,4.582,4.15,5.943,2.586,41.626,Low fat yogurt
1.07,2.7675,4.455,5.183,4.426,2.68,40.263,Low fat yogurt
0.959,3.2096,4.453,5.279,4.041,2.646,41.238,Low fat yogurt
1.117,1.7612,4.46,5.047,4.446,2.653,40.661,Low fat yogurt
1.081,3.2036,4.444,5.291,4.269,2.49,40.464,Low fat yogurt
1.072,1.1148,4.492,5.747,4.946,2.463,40.545,Low fat yogurt
1.185,3.684,4.457,4.962,4.974,2.567,41.414,Regular yogurt
1.119,3.3216,4.439,4.266,5.902,2.514,41.992,Regular yogurt
1.143,1.9474,4.597,5.66,4.214,2.591,40.914,Low fat yogurt
1.07,1.2018,4.483,4.77,4.166,2.413,41.811,Low fat yogurt
0.969,2.8571,4.529,4.996,5.788,2.569,41.102,Low fat yogurt
1.014,2.3236,4.591,5.601,5.642,2.408,40.085,Low fat yogurt
1.073,1.4802,4.563,4.746,4.098,2.463,40.908,Low fat yogurt
1.126,3.5965,4.411,4.101,5.333,2.446,41.001,Regular yogurt
1.129,2.1424,4.52,5.362,5.969,2.679,41.022,Low fat yogurt
1.073,3.1223,4.488,4.803,5.742,2.643,41.034,Low fat yogurt
1.082,3.0472,4.434,5.994,5.203,2.623,41.229,Low fat yogurt
1.132,1.7766,4.523,5.286,5.809,2.613,40.347,Low fat yogurt
1.11,1.6029,4.482,5.827,5.259,2.53,41.492,Low fat yogurt
1.163,3.3589,4.523,5.738,4.675,2.647,41.856,Regular yogurt
1.13,1.7315,4.472,4.505,4.913,2.566,40.397,Low fat yogurt
1.011,1.1646,4.443,5.173,4.651,2.461,40.122,Low fat yogurt
1.116,1.3698,4.453,5.504,4.991,2.688,40.064,Low fat yogurt
1.077,2.1959,4.44,4.381,5.295,2.468,40.263,Low fat yogurt
1.04,2.3484,4.462,5.447,4.209,2.59,41.357,Low fat yogurt
1.02,1.008,4.593,5.356,4.36,2.642,41.338,Non fat yogurt
0.973,1.9629,4.525,4.722,4.563,2.426,40.653,Low fat yogurt
1.107,3.3821,4.431,4.729,5.992,2.544,41.767,Regular yogurt
1.127,1.1988,4.412,5.133,4.163,2.447,41.803,Low fat yogurt
1.14,3.3683,4.572,4.537,4.151,2.51,40.218,Regular yogurt
1.085,1.4526,4.449,4.664,4.915,2.585,41.946,Low fat yogurt
1.177,1.2431,4.447,5.661,4.621,2.6,41.682,Low fat yogurt
1.178,2.2556,4.529,5.144,5.829,2.414,41.558,Low fat yogurt
1.167,1.1888,4.55,4.132,5.812,2.696,41.219,Low fat yogurt
1.071,1.0762,4.471,4.099,5.924,2.517,41.862,Non fat yogurt
1.008,3.9341,4.523,5.044,4.467,2.612,40.66,Regular yogurt
1.084,3.9549,4.557,5.589,4.878,2.479,41.395,Regular yogurt
0.991,3.0581,4.489,5.724,4.084,2.674,41.814,Low fat yogurt
1.184,1.0847,4.457,5.151,5.727,2.621,40.667,Non fat yogurt
1.123,2.6871,4.499,5.549,4.985,2.5,41.724,Low fat yogurt
1.015,2.853,4.507,5.116,4.238,2.496,40.887,Low fat yogurt
1.105,1.9169,4.574,4.167,4.493,2.558,40.65,Low fat yogurt
0.97,1.6324,4.503,4.413,4.04,2.614,40.102,Low fat yogurt
1.049,2.7734,4.546,4.897,4.352,2.437,40.69,Low fat yogurt
1.023,3.6336,4.436,5.773,5.324,2.472,40.753,Regular yogurt
1.132,1.7643,4.581,4.35,4.913,2.451,41.97,Low fat yogurt
1.074,3.1815,4.588,4.933,5.015,2.648,40.674,Low fat yogurt
1.133,3.8456,4.552,5.415,5.983,2.612,40.508,Regular yogurt
1.117,3.317,4.432,5.129,4.5,2.432,40.638,Regular yogurt
1.1,2.5922,4.484,5.72,4.318,2.565,40.58,Low fat yogurt
1.053,3.1776,4.535,4.073,4.794,2.416,41.361,Low fat yogurt
1.123,3.653,4.418,4.73,4.819,2.576,41.167,Regular yogurt
1.138,1.159,4.502,5.815,5.128,2.67,40.882,Low fat yogurt
1.187,2.1741,4.491,4.513,5.137,2.439,40.003,Low fat yogurt
1.11,1.7012,4.512,4.103,5.161,2.578,40.296,Low fat yogurt
1.081,3.7566,4.461,5.57,4.053,2.421,40.64,Regular yogurt
1.093,3.0848,4.483,4.116,4.862,2.539,41.719,Low fat yogurt
1.122,2.4945,4.565,5.703,5.0,2.536,40.698,Low fat yogurt
1.181,1.4625,4.504,5.772,4.175,2.563,41.429,Low fat yogurt
0.966,1.4979,4.411,5.256,4.098,2.634,40.01,Low fat yogurt
0.977,3.8693,4.554,4.999,4.822,2.606,40.82,Regular yogurt
0.987,2.7916,4.459,5.512,5.923,2.432,41.731,Low fat yogurt
1.171,2.4373,4.551,4.383,4.962,2.571,41.323,Low fat yogurt
0.955,1.1002,4.519,5.262,4.833,2.59,40.713,Low fat yogurt
1.057,3.9524,4.503,4.794,5.684,2.547,40.072,Regular yogurt
1.095,1.1269,4.488,4.757,4.584,2.502,41.36,Low fat yogurt
1.155,2.8809,4.419,5.154,5.759,2.459,40.32,Low fat yogurt
1.044,3.6386,4.517,4.476,4.031,2.403,41.635,Regular yogurt
1.07,3.5221,4.43,5.102,4.769,2.571,40.464,Regular yogurt
1.122,3.0329,4.547,4.94,4.204,2.507,41.589,Low fat yogurt
0.968,2.9941,4.434,4.216,4.944,2.683,41.166,Low fat yogurt
0.974,2.0552,4.447,5.006,4.656,2.669,41.291,Low fat yogurt
1.113,1.7596,4.439,5.875,4.775,2.507,40.1,Low fat yogurt
1.108,1.3323,4.509,5.982,5.645,2.428,40.894,Low fat yogurt
1.045,2.3835,4.554,5.399,5.017,2.591,40.327,Low fat yogurt
0.951,1.3387,4.488,4.658,5.853,2.656,40.999,Low fat yogurt
1.028,2.8143,4.49,5.689,4.256,2.427,40.079,Low fat yogurt
1.077,3.8219,4.468,4.96,5.987,2.472,41.337,Regular yogurt
1.034,3.9653,4.551,5.204,4.448,2.474,41.992,Regular yogurt
1.068,2.0723,4.539,4.655,5.344,2.643,40.904,Low fat yogurt
1.155,3.4153,4.495,5.022,4.761,2.515,40.291,Regular yogurt
1.078,2.2425,4.416,5.809,5.374,2.641,41.29,Low fat yogurt
0.956,1.8346,4.451,4.506,4.59,2.591,40.063,Low fat yogurt
0.953,3.1715,4.489,5.197,5.296,2.528,40.705,Low fat yogurt
1.144,3.8893,4.478,4.463,5.261,2.522,41.401,Regular yogurt
1.094,2.4126,4.544,4.954,4.758,2.609,41.332,Low fat yogurt
0.992,1.8596,4.559,4.974,4.187,2.572,41.117,Low fat yogurt
1.171,3.0308,4.525,4.705,4.769,2.602,41.879,Low fat yogurt
1.117,1.2375,4.418,5.042,5.65,2.677,41.495,Low fat yogurt
1.175,3.7701,4.578,5.771,5.267,2.686,40.884,Regular yogurt
1.156,2.9306,4.493,4.144,4.409,2.671,41.12,Low fat yogurt
1.169,1.9499,4.456,5.988,5.083,2.404,41.125,Low fat yogurt
0.962,2.1107,4.534,4.892,5.311,2.502,41.211,Low fat yogurt
1.127,2.2386,4.487,5.219,4.569,2.566,40.396,Low fat yogurt
0.998,1.3816,4.501,4.657,5.627,2.537,40.74,Low fat yogurt
1.06,1.5249,4.408,5.218,5.797,2.435,40.648,Low fat yogurt
1.139,2.0016,4.486,5.758,4.708,2.602,41.102,Low fat yogurt
1.145,3.9339,4.462,5.799,5.002,2.671,40.329,Regular yogurt
1.159,1.0738,4.533,4.485,4.465,2.626,40.266,Non fat yogurt
1.114,2.455,4.442,5.919,5.924,2.53,41.088,Low fat yogurt
1.099,1.6673,4.441,4.555,5.592,2.603,41.017,Low fat yogurt
0.964,1.5149,4.481,5.232,4.499,2.676,40.57,Low fat yogurt
1.025,2.2169,4.486,5.471,5.909,2.543,40.542,Low fat yogurt
1.121,2.4626,4.512,4.333,4.255,2.493,40.947,Low fat yogurt
1.054,3.2386,4.533,5.044,5.726,2.433,40.005,Low fat yogurt
0.993,2.3547,4.484,5.048,5.841,2.62,41.36,Low fat yogurt
0.986,1.5467,4.43,4.337,5.32,2.412,41.757,Low fat yogurt
1.095,3.2174,4.409,4.889,4.169,2.562,40.6,Low fat yogurt
1.11,1.2305,4.407,4.694,5.238,2.695,41.14,Low fat yogurt
0.985,1.0466,4.594,5.308,4.526,2.471,41.051,Non fat yogurt
1.014,1.6566,4.414,5.602,5.589,2.657,40.807,Low fat yogurt
0.997,2.4844,4.446,5.802,4.136,2.638,41.934,Low fat yogurt
1.06,1.0826,4.572,4.36,4.184,2.591,40.051,Non fat yogurt
1.015,2.3382,4.481,5.689,5.561,2.514,40.938,Low fat yogurt
1.039,3.2609,4.461,5.965,5.982,2.609,41.825,Regular yogurt
1.143,2.6464,4.518,4.976,5.188,2.522,40.431,Low fat yogurt
1.081,2.2266,4.463,4.219,5.773,2.602,40.205,Low fat yogurt
0.982,1.965,4.56,5.07,5.903,2.412,40.387,Low fat yogurt
1.088,3.8328,4.514,5.965,4.512,2.568,40.828,Regular yogurt
1.103,1.1435,4.48,5.719,4.596,2.437,41.601,Low fat yogurt
1.121,3.6476,4.56,4.4,4.583,2.421,41.747,Regular yogurt
1.13,1.1571,4.562,5.375,5.014,2.679,41.276,Low fat yogurt
1.163,3.7638,4.481,5.395,5.13,2.486,41.07,Regular yogurt
1.026,3.9596,4.557,4.422,5.607,2.479,41.606,Regular yogurt
1.092,3.4963,4.578,5.503,5.792,2.595,41.242,Regular yogurt
0.973,1.7566,4.554,4.058,4.955,2.548,41.738,Low fat yogurt
1.048,3.6381,4.524,4.383,5.084,2.451,41.006,Regular yogurt
1.007,3.5212,4.449,5.553,4.232,2.645,41.674,Regular yogurt
1.124,1.4606,4.43,4.012,5.059,2.533,40.788,Low fat yogurt
1.02,2.4753,4.486,4.384,5.733,2.439,41.579,Low fat yogurt
1.124,3.1014,4.566,5.987,5.835,2.653,40.031,Low fat yogurt
1.033,1.664,4.561,5.928,5.349,2.572,40.846,Low fat yogurt
1.001,2.154,4.437,5.446,5.896,2.586,41.729,Low fat yogurt
1.028,1.9682,4.439,5.33,5.944,2.537,40.261,Low fat yogurt
1.181,2.4406,4.549,5.26,4.928,2.483,40.382,Low fat yogurt
1.18,3.4324,4.401,5.094,4.942,2.625,40.108,Regular yogurt
0.97,3.4401,4.402,5.677,4.763,2.666,40.99,Regular yogurt
1.063,1.957,4.418,5.669,5.593,2.487,40.537,Low fat yogurt
1.134,1.4572,4.578,4.655,4.133,2.664,40.926,Low fat yogurt
1.007,2.8106,4.511,5.648,5.871,2.608,41.327,Low fat yogurt
1.052,1.8651,4.447,4.194,5.183,2.594,40.178,Low fat yogurt
1.168,3.543,4.542,5.653,4.277,2.643,40.956,Regular yogurt
0.993,1.3226,4.415,5.425,4.469,2.432,40.402,Low fat yogurt
0.968,1.8321,4.554,5.074,5.242,2.694,41.921,Low fat yogurt
1.034,1.0864,4.552,5.978,4.35,2.484,41.23,Non fat yogurt
1.049,2.0394,4.529,4.427,5.486,2.672,41.936,Low fat yogurt
1.176,2.8683,4.462,5.377,4.877,2.642,41.755,Low fat yogurt
1.177,2.8102,4.411,5.865,5.702,2.667,41.203,Low fat yogurt
1.152,2.3618,4.535,4.727,4.558,2.697,40.658,Low fat yogurt
1.019,3.8738,4.562,4.672,4.227,2.536,41.647,Regular yogurt
1.038,2.1782,4.539,4.498,5.799,2.666,41.031,Low fat yogurt
0.964,3.9874,4.441,4.976,5.007,2.597,41.919,Regular yogurt
1.114,2.7038,4.444,4.004,5.582,2.453,40.503,Low fat yogurt
0.971,1.4605,4.448,4.756,4.144,2.481,40.901,Low fat yogurt
